,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Primary streaming service_Apple Music,Primary streaming service_No service,Primary streaming service_Other,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music
0,2,1,1,1,1,1,1,0,1,0,1,0,0,2,0,3,3,1,0,3,2,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,0,1,0,0,1,0,0,2,0,0,1,2,1,3,1,2,1,0,2,2,1,3,1,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,2,1,0,0,0,0,1,0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,7,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,6,1,1,0,1,1,1,0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,9,7,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,1,1,0,0,1,0,0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,7,2,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,2,2,1,1,1,1,1,0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,8,8,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2,1,1,1,0,1,1,0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,4,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,2,0,1,0,0,1,1,0,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,5,3,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,2,0,1,0,0,1,1,0,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,2,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,2,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7,7,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2,3,1,0,0,1,0,0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,1,1,0,0,1,1,0,1,0,1,0,0,3,0,2,0,3,0,2,2,1,1,0,9,3,2,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
