index,cluster
430,0
432,0
674,0
673,0
172,0
671,0
527,0
295,0
294,0
354,0
178,0
668,0
180,0
181,0
433,0
509,0
184,0
185,0
186,0
187,0
667,0
189,0
190,0
191,0
520,0
381,0
425,0
589,0
382,0
183,0
676,0
296,0
165,0
688,0
638,0
135,0
687,0
137,0
311,0
139,0
629,0
683,0
307,0
306,0
305,0
584,0
440,0
439,0
149,0
150,0
151,0
549,0
153,0
376,0
157,0
158,0
159,0
300,0
547,0
298,0
379,0
434,0
198,0
510,0
383,0
201,0
238,0
239,0
596,0
241,0
242,0
391,0
401,0
245,0
275,0
247,0
521,0
399,0
250,0
398,0
273,0
272,0
255,0
647,0
395,0
258,0
646,0
394,0
643,0
642,0
263,0
264,0
393,0
641,0
392,0
595,0
446,0
277,0
234,0
288,0
418,0
417,0
206,0
386,0
208,0
284,0
414,0
413,0
387,0
411,0
662,0
215,0
593,0
217,0
218,0
219,0
220,0
221,0
282,0
544,0
224,0
659,0
226,0
281,0
656,0
230,0
407,0
389,0
235,0
447,0
313,0
519,0
502,0
36,0
484,0
620,0
39,0
720,0
41,0
545,0
718,0
621,0
45,0
339,0
362,0
48,0
344,0
49,0
51,0
563,0
364,0
335,0
365,0
476,0
57,0
58,0
59,0
60,0
475,0
714,0
608,0
130,0
609,0
504,0
345,0
488,0
1,0
2,0
499,0
4,0
495,0
500,0
539,0
731,0
730,0
10,0
353,0
12,0
729,0
14,0
619,0
15,0
728,0
18,0
19,0
20,0
501,0
22,0
616,0
491,0
25,0
517,0
489,0
28,0
29,0
30,0
515,0
332,0
565,0
469,0
507,0
604,0
316,0
103,0
104,0
105,0
578,0
107,0
108,0
109,0
110,0
111,0
112,0
452,0
697,0
115,0
116,0
580,0
118,0
625,0
120,0
693,0
450,0
123,0
124,0
449,0
691,0
448,0
128,0
331,0
369,0
576,0
321,0
69,0
71,0
329,0
73,0
74,0
75,0
327,0
77,0
78,0
326,0
518,0
709,0
320,0
708,0
533,0
82,0
636,0
